folder,train_minutes,gen_minutes,train_vram_gb,gen_vram_gb,train_vram_pct,gen_vram_pct,train_vram_for_phase_gb,gen_vram_for_phase_gb
pdf-ds-new-llama-3.1-8b-v0.3-4bit-lora-r16-a16,26.78,11.18,7.623,15.625,19.351,19.741,0.0,0.467
pdf-ds-new-llama-3.1-8b-v0.3-4bit-lora-r128-a128,27.94,9.49,9.389,17.031,23.834,21.517,1.657,0.767
pdf-ds-new-llama-3.1-8b-v0.3-4bit-lora-r128-a256,28.06,10.02,9.389,17.031,23.834,21.517,1.657,0.767
pdf-ds-new-llama-3.1-8b-v0.3-4bit-lora-r4-a8,26.8,11.85,7.623,15.449,19.351,19.518,0.0,0.408
rag,,27.7,,15.936,,20.133,,
pdf-ds-new-llama-3.1-8b-v0.3-4bit-lora-r64-a64,28.19,12.21,7.744,16.383,19.658,20.698,0.121,0.752
pdf-ds-new-llama-3.1-8b-v0.3-4bit-lora-r64-a128,27.3,10.7,7.744,16.387,19.658,20.703,0.121,0.756
pdf-ds-new-llama-3.1-8b-v0.3-4bit-lora-r16-a32,27.02,12.48,7.623,15.605,19.351,19.715,0.0,0.447
pdf-ds-new-llama-3.1-8b-v0.3-4bit-lora-r32-a64,26.92,9.92,7.623,15.619,19.351,19.733,0.0,0.31
pdf-ds-new-llama-3.1-8b-v0.3-4bit-lora-r4-a4,26.82,14.39,7.623,15.447,19.351,19.516,0.0,0.406
pdf-ds-new-llama-3.1-8b-v0.3-4bit-lora-r32-a32,26.92,10.02,7.623,15.619,19.351,19.733,0.0,0.31
pdf-ds-new-llama-3.1-8b-v0.3-4bit-lora-r8-a16,27.04,10.8,7.623,15.273,19.351,19.296,0.0,0.193
pdf-ds-new-llama-3.1-8b-v0.3-4bit-lora-r8-a8,26.91,10.81,7.623,15.273,19.351,19.296,0.0,0.193
