,count,mean,std,min,25%,50%,75%,max
answer_relevancy,3570.0,0.9387435026409734,0.15893992144998764,0.0,1.0,1.0,1.0,1.0
bert_f1,3570.0,0.8481320423405377,0.0363925049453349,0.6135099530220032,0.8337119519710541,0.8534528911113739,0.8695067316293716,1.0
bert_precision,3570.0,0.853608796476316,0.04705880504692887,0.5730903744697571,0.8396233469247818,0.8627148568630219,0.8813116252422333,1.0
bert_recall,3570.0,0.8437982152156135,0.0349821616064827,0.5802820324897766,0.8263781666755676,0.8459886610507965,0.862856075167656,1.0
bleu1,3570.0,0.20308406318419825,0.119449773903162,0.0,0.1181819986516821,0.20109999673795287,0.2777777777777778,1.0
bleu2,3570.0,0.10796308108089979,0.10070605049872243,0.0,0.012663016237142567,0.09362968760166639,0.16116131703875977,1.0
bleu3,3570.0,0.06632034165466459,0.09046047000607972,0.0,3.289555505196176e-103,0.02447983951829153,0.11280001177141116,1.0
bleu4,3570.0,0.04102727870554706,0.07852890003559802,0.0,2.4510022449196747e-155,1.0652352185959247e-78,0.07083441178979381,1.0
contextual_relevancy,3570.0,0.7970577145833473,0.21567642177368773,0.0,0.6923076923076923,0.84,1.0,1.0
factual_correctness,3570.0,0.7116303432543509,0.21182392434670488,0.0,0.6285780100050096,0.7886176181950083,0.8777299866333615,1.0000000000000002
faithfulness,3570.0,0.8815388784335577,0.25558004801969997,0.0,1.0,1.0,1.0,1.0
hallucination,3570.0,0.4834733893557423,0.4997968009550315,0.0,0.0,0.0,1.0,1.0
rouge1,3570.0,0.2868539329736237,0.13234885732445847,0.0,0.20512820512820512,0.2926829268292683,0.36889761068649723,1.0
rouge2,3570.0,0.10642146497025513,0.10270012097383258,0.0,0.030303030303030304,0.08450704225352113,0.15465872156013,1.0
rougeL,3570.0,0.22416853768210895,0.11828310311739888,0.0,0.14814814814814814,0.21686746987951805,0.288659793814433,1.0
