,count,mean,std,min,25%,50%,75%,max
answer_relevancy,255.0,0.7542629352750819,0.2732642840627297,0.03571428571428571,0.5634920634920635,0.8461538461538461,1.0,1.0
bert_f1,255.0,0.7787224582597321,0.032578162043647704,0.6303307414054871,0.7589495778083801,0.7811716794967651,0.8032684028148651,0.8501580357551575
bert_precision,255.0,0.7463583633011462,0.040921258142875234,0.5730903744697571,0.7232410311698914,0.7505223751068115,0.7749914228916168,0.8334465622901917
bert_recall,255.0,0.8146282408751694,0.026821640907695926,0.7002741694450378,0.7992274165153503,0.8180315494537354,0.8333341777324677,0.8710110187530518
bleu1,255.0,0.01860678616478001,0.01409543304956328,0.0028195488721804514,0.010961408986819715,0.015368852459016393,0.021844497134953567,0.10344827586206899
bleu2,255.0,0.008461644157274127,0.007088329849476518,7.920671996915762e-156,0.004345591886495659,0.00730581008981046,0.011058234918174224,0.05985502712621093
bleu3,255.0,0.004179851785941496,0.005138184567898139,1.2817596669978856e-204,8.893759342077048e-104,0.003510976982647653,0.006595407122942177,0.0440733774309514
bleu4,255.0,0.002154751085033254,0.003738721302124212,4.198104358177364e-232,1.0422243206151564e-155,1.6877645164149013e-79,0.003917730436582745,0.034152066331975435
contextual_relevancy,255.0,0.7996532436819224,0.19982071853123323,0.14285714285714285,0.6899038461538461,0.8421052631578947,1.0,1.0
factual_correctness,255.0,0.6961080847387395,0.23257482092535448,0.09525741239613983,0.5990828679720412,0.7897592056753208,0.8851952807606727,0.9562176500885797
faithfulness,255.0,0.8765635762840109,0.24090423586135346,0.0,0.8823529411764706,1.0,1.0,1.0
hallucination,255.0,0.8392156862745098,0.36805427501833377,0.0,1.0,1.0,1.0,1.0
rouge1,255.0,0.04032487943679296,0.027922229034220675,0.005352363960749331,0.024814506942520242,0.03508771929824561,0.046258773457376785,0.2151898734177215
rouge2,255.0,0.011359681546540282,0.009168171766842032,0.0,0.005174722185031464,0.009600000000000001,0.015357221471022923,0.07006369426751594
rougeL,255.0,0.03208130608892843,0.019442428115726603,0.005352363960749331,0.021013481574992145,0.027459954233409606,0.03698005698005698,0.16455696202531644
