,count,mean,std,min,25%,50%,75%,max
answer_relevancy,255.0,0.8857098886740965,0.20363645947150974,0.0,0.8441295546558705,1.0,1.0,1.0
bert_f1,255.0,0.8370332301831713,0.050983225838787796,0.6135099530220032,0.8071490228176117,0.8326801657676697,0.8635252118110657,0.9918419122695923
bert_precision,255.0,0.8179612353736279,0.05912527068636536,0.6507743000984192,0.7821848392486572,0.8124253153800964,0.8493559956550598,0.994265079498291
bert_recall,255.0,0.8581574203921299,0.04970713169463744,0.5802820324897766,0.8303089141845703,0.8545973896980286,0.8822370767593384,0.9894305467605591
bleu1,255.0,0.19275470612691697,0.14944103736814093,0.0,0.09562659033078881,0.1475409836065574,0.24283374283374284,0.8512377088598044
bleu2,255.0,0.12396483768453294,0.14244108150645146,0.0,0.036482240434880756,0.07808392372399012,0.15336127169195923,0.8095032628579325
bleu3,255.0,0.09161682574078736,0.1334178080960342,0.0,3.890054532658897e-103,0.04618957532618392,0.11589234642749435,0.7661670614280109
bleu4,255.0,0.06839197460427851,0.12182022190006642,0.0,3.18763820394822e-155,0.014413443325920323,0.08675489809434897,0.7151826245402508
contextual_relevancy,255.0,0.669680983504513,0.33713266482259024,0.0,0.5,0.8,1.0,1.0
factual_correctness,255.0,0.8361772413361738,0.15685455676198162,0.19706877683476795,0.8385979391372869,0.8982013787866551,0.9017986210587179,1.0
faithfulness,255.0,0.9653085150143974,0.1101934216299457,0.0,1.0,1.0,1.0,1.0
hallucination,255.0,0.3137254901960784,0.4649187583941381,0.0,0.0,0.0,1.0,1.0
rouge1,255.0,0.3008258781679045,0.17902454973325393,0.0,0.17689336527648752,0.2553191489361702,0.38534997287032013,1.0
rouge2,255.0,0.1461931334691663,0.16833414668334631,0.0,0.04064896755162242,0.08421052631578947,0.18745098039215685,1.0
rougeL,255.0,0.23834201680659695,0.16859793418409444,0.0,0.12882481070428378,0.1801801801801802,0.3038721503035857,1.0
