,count,mean,std,min,25%,50%,75%,max
answer_relevancy,255.0,0.9525552443199501,0.1484395283784895,0.0,1.0,1.0,1.0,1.0
bert_f1,255.0,0.8577252023360309,0.02947822865133531,0.7233883142471313,0.8394837379455566,0.8574444651603699,0.8717457950115204,1.0
bert_precision,255.0,0.870451234368717,0.02995776500587111,0.7836765050888062,0.8507274985313416,0.8682934641838074,0.8884198665618896,1.0
bert_recall,255.0,0.8459799163481768,0.036099893381642864,0.6173889636993408,0.8260060250759125,0.847889244556427,0.8641508221626282,1.0
bleu1,255.0,0.2172820596092081,0.12643451143575596,0.0,0.13349963177910265,0.2032770305131713,0.29533219064816196,1.0
bleu2,255.0,0.12260507695055162,0.11641499497804426,0.0,0.048172414299691095,0.0954566664584584,0.17455360893292027,1.0
bleu3,255.0,0.07870535584250807,0.11017253538953023,0.0,3.363826907528396e-103,0.049044750689650876,0.12476717083515158,1.0
bleu4,255.0,0.051097916255973604,0.10134686587659064,0.0,2.3539742960080394e-155,1.1737668658934075e-78,0.08652081724686003,1.0
contextual_relevancy,255.0,0.8131159367827513,0.19412284152535006,0.2222222222222222,0.7142857142857143,0.8421052631578947,1.0,1.0
factual_correctness,255.0,0.7004547604111802,0.20682994990402603,0.09706877705205928,0.5978036546409706,0.7821839392625337,0.8679178695928506,1.0
faithfulness,255.0,0.8891486291486291,0.2680835333261038,0.0,1.0,1.0,1.0,1.0
hallucination,255.0,0.4823529411764706,0.5006711567741519,0.0,0.0,0.0,1.0,1.0
rouge1,255.0,0.31179826353947093,0.13126621447846162,0.0,0.22145045965270685,0.29508196721311475,0.38596491228070173,1.0
rouge2,255.0,0.12383243400536405,0.12132116883695848,0.0,0.038838612368024134,0.09302325581395349,0.1810730253353204,1.0
rougeL,255.0,0.24938602859041054,0.12492202966864208,0.0,0.16580756013745704,0.22535211267605634,0.31452124286620164,1.0
