,count,mean,std,min,25%,50%,75%,max
answer_relevancy,1516.0,0.7270170388121697,0.29741579977925015,0.0,0.5,0.8333333333333334,1.0,1.0
bert_f1,1516.0,0.7805936458400183,0.0337352966089009,0.6513945460319519,0.7594945728778839,0.783450722694397,0.8047522008419037,0.8576236963272095
bert_precision,1516.0,0.7505665533146317,0.04290764558438921,0.5959891080856323,0.723835900425911,0.7541679739952087,0.7814672291278839,0.8536374568939209
bert_recall,1516.0,0.8137803783438765,0.027071871875170312,0.6777781248092651,0.7968064844608307,0.8163495659828186,0.8321724236011505,0.8815575838088989
bleu1,1516.0,0.01923968184466309,0.016066845876131178,0.0008223684210526313,0.011434615855973867,0.01556841679157139,0.021141904506113647,0.1638418079096045
bleu2,1516.0,0.009021316555784144,0.008625488120804426,4.2776517807625714e-156,0.004566104446298335,0.0073697991507411876,0.010818271509247987,0.10119344343558173
bleu3,1516.0,0.004713909190808424,0.006042227379668777,8.535308935079982e-205,9.07452274278083e-104,0.00391994961320184,0.006859560713217505,0.07622200424169
bleu4,1516.0,0.002292869468532774,0.004112963481616014,3.0851403781954294e-232,1.0582331908579426e-155,1.861913992661397e-79,0.004037866793444433,0.058572852414486724
contextual_relevancy,1516.0,0.7436520661206867,0.2652062878608848,0.05263157894736842,0.5714285714285714,0.8,1.0,1.0
factual_correctness,1516.0,0.5664080445707635,0.2360848540679813,0.009534947068315557,0.32704958785708305,0.6206844405885591,0.7734045287370936,0.9148047194272744
faithfulness,1516.0,0.8878301531628574,0.22485984057991903,0.0,0.8888888888888888,1.0,1.0,1.0
hallucination,1516.0,0.753957783641161,0.43084555233375404,0.0,1.0,1.0,1.0,1.0
rouge1,1516.0,0.04185141106967472,0.030811770713766097,0.0016103059581320449,0.025574279741676302,0.034783999069713356,0.047043451526952246,0.272
rouge2,1516.0,0.0122332149463722,0.010877783159474134,0.0,0.005700808625336928,0.009779957596271873,0.015123667614493814,0.12096774193548387
rougeL,1516.0,0.03376504500619926,0.021739017212110294,0.0016103059581320449,0.021425629559896447,0.02883464314354451,0.03856939483792708,0.17600000000000002
