,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,answer_relevancy,faithfulness,faithfulness,faithfulness,faithfulness,faithfulness,contextual_relevancy,contextual_relevancy,contextual_relevancy,contextual_relevancy,contextual_relevancy,hallucination,hallucination,hallucination,hallucination,hallucination,factual_correctness,factual_correctness,factual_correctness,factual_correctness,factual_correctness,bleu1,bleu1,bleu1,bleu1,bleu1,bleu2,bleu2,bleu2,bleu2,bleu2,bleu3,bleu3,bleu3,bleu3,bleu3,bleu4,bleu4,bleu4,bleu4,bleu4,rouge1,rouge1,rouge1,rouge1,rouge1,rouge2,rouge2,rouge2,rouge2,rouge2,rougeL,rougeL,rougeL,rougeL,rougeL,bert_precision,bert_precision,bert_precision,bert_precision,bert_precision,bert_recall,bert_recall,bert_recall,bert_recall,bert_recall,bert_f1,bert_f1,bert_f1,bert_f1,bert_f1
,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max
source_file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001586_chapter_04.txt,5,0.8188095238095239,0.25319444366702615,0.375,1.0,5,0.9666666666666668,0.07453559924999294,0.8333333333333334,1.0,5,0.7219047619047619,0.3330032379160675,0.14285714285714285,1.0,5,0.2,0.447213595499958,0.0,1.0,5,0.7472450413857601,0.2690092393578845,0.2713069515315393,0.9037326887210266,5,0.18183030321644938,0.12469747217068139,0.054945054945054944,0.37623762376237624,5,0.1336334190583372,0.11604293606117606,0.03477621063675157,0.31872269830660255,5,0.10844802996977357,0.10313473807031205,0.020583307995975377,0.27735299505412836,5,0.08370260091883178,0.09064991868764578,6.444601782724926e-79,0.23269158990631184,5,0.3067932167997493,0.16344417674365563,0.1130952380952381,0.5168539325842696,5,0.16724518485597226,0.1505097426160869,0.018779342723004695,0.3977272727272727,5,0.23696102532741095,0.16904368724730212,0.08928571428571429,0.5168539325842696,5,0.7962725281715393,0.0546480923868339,0.7170238494873047,0.86557936668396,5,0.8707717061042786,0.04024817209139687,0.8209801912307739,0.9111406803131104,5,0.8315507173538208,0.04568429731469418,0.7654887437820435,0.8869239687919617
1001586_chapter_051.txt,5,0.9466666666666667,0.08692269873603531,0.8,1.0,5,0.9833333333333334,0.037267799624996496,0.9166666666666666,1.0,5,0.61,0.34168699126539775,0.0,0.8,5,0.6,0.5477225575051661,0.0,1.0,5,0.8279989672220103,0.1109070517793816,0.6411088523816306,0.9,5,0.09368926394580782,0.04700024462939115,0.044715447154471545,0.16666666666666669,5,0.04876473708851028,0.05735524404250234,3.843940828323252e-155,0.1407605051622074,5,0.03369702090038458,0.05423453400191016,3.635601552724474e-204,0.12454993111581841,5,0.02659582999777573,0.04725169197441728,9.248271325361215e-232,0.1090680512368522,5,0.1691837717572666,0.07876471663890978,0.08360128617363345,0.2978723404255319,5,0.06101653150348124,0.08341265438696116,0.005952380952380952,0.2043010752688172,5,0.12938887413757968,0.0805293662640977,0.06430868167202572,0.26595744680851063,5,0.7677473187446594,0.019604729331484518,0.7435566782951355,0.7896580696105957,5,0.8292404532432556,0.029980291334921857,0.8071325421333313,0.8746216297149658,5,0.7972223997116089,0.02291107234727098,0.7740413546562195,0.8299710750579834
1001586_chapter_052.txt,5,0.9714285714285713,0.06388765649999402,0.8571428571428571,1.0,5,0.9636363636363636,0.049792959773196914,0.9090909090909091,1.0,5,0.7333333333333334,0.4183300132670378,0.0,1.0,5,0.4,0.5477225575051661,0.0,1.0,5,0.8154766843527869,0.13313892606447295,0.595625973700079,0.9,5,0.13196295111017353,0.1336645307675586,0.047619047619047616,0.3684210526315789,5,0.08172531713852696,0.10550873150544672,0.01377379109727692,0.26901379342448517,5,0.052808445159447624,0.0777270144854499,1.7635954391170307e-103,0.19054239335448042,5,0.030661249503358974,0.060505314536864044,1.7506485227792507e-155,0.13826777579228938,5,0.21111428703689153,0.1506744896895152,0.10691823899371068,0.47706422018348627,5,0.08691097577737522,0.09898520832280965,0.0189873417721519,0.26168224299065423,5,0.16484323740748477,0.12583491651603276,0.07547169811320754,0.3853211009174312,5,0.7745939135551453,0.054452675757082236,0.7326251268386841,0.8663864731788635,5,0.8440905451774597,0.03654400469274712,0.805739164352417,0.9022661447525024,5,0.8075950741767883,0.04464458312931464,0.7674446702003479,0.8839623332023621
1001586_chapter_053.txt,5,0.8214752567693744,0.2007680270366398,0.5714285714285714,1.0,5,1.0,0.0,1.0,1.0,5,0.7166666666666667,0.4149966532662911,0.0,1.0,5,0.6,0.5477225575051661,0.0,1.0,5,0.8297834923995241,0.0726119768649154,0.723258670955901,0.9,5,0.103083369283544,0.0226013767290608,0.08878504672897197,0.14215686274509803,5,0.04819888857458593,0.00810451990834034,0.04001921383506851,0.05917263354139387,5,0.006389409890614715,0.014287154851523999,3.5655038293551356e-103,0.03194704945307358,5,0.004467375820903523,0.009989356016579203,2.9840527231002543e-155,0.022336879104517614,5,0.19000830695721843,0.03876533482517775,0.16,0.25783972125435534,5,0.046591438897967206,0.00944304511867086,0.03649635036496351,0.06101694915254238,5,0.1336573060450548,0.016439899758402127,0.11594202898550725,0.1602787456445993,5,0.7952436089515686,0.018491506666952942,0.7765676975250244,0.8236297369003296,5,0.8452199101448059,0.03111587441368546,0.8041846752166748,0.8730785846710205,5,0.8193857431411743,0.023311536394028057,0.7925177216529846,0.8476336002349854
1001586_chapter_054.txt,5,0.9333333333333333,0.06319062870042962,0.875,1.0,5,0.9418181818181818,0.08851390141554973,0.8,1.0,5,0.78,0.15563490039905004,0.6,1.0,5,0.8,0.4472135954999579,0.0,1.0,5,0.7348653633961281,0.06236166245847784,0.6817574469526277,0.8320821313812162,5,0.09130679090179974,0.052226020950320654,0.04216867469879517,0.16216216216216217,5,0.03631894418136051,0.03244873689838972,4.885098338854317e-155,0.08585457105482136,5,0.024241816869637455,0.025345209320878352,3.9787625602965015e-204,0.06044816598150872,5,0.017792122964288802,0.018527154397750448,9.433642690444402e-232,0.04402577002048975,5,0.14402851822449328,0.07830356329004226,0.08955223880597016,0.2802547770700637,5,0.04604013255047877,0.037608914402784514,0.0,0.10322580645161292,5,0.11529757159589674,0.04269763417558561,0.08955223880597016,0.19108280254777066,5,0.7642415881156921,0.052703476212347,0.7238115072250366,0.8424134850502014,5,0.822971510887146,0.018843086805937267,0.8026370406150818,0.8521848917007446,5,0.7920039772987366,0.03393482361337779,0.7611890435218811,0.8343754410743713
1001586_chapter_056.txt,5,0.9318181818181819,0.10899617098437997,0.75,1.0,5,0.9511111111111111,0.06740333728045823,0.8666666666666667,1.0,5,0.9428571428571428,0.12777531299998798,0.7142857142857143,1.0,5,0.4,0.5477225575051661,0.0,1.0,5,0.8787404500224406,0.10126339305042957,0.7116312065258331,0.988079708267146,5,0.19279244968050294,0.19258853565451473,0.04810996563573883,0.5084745762711864,5,0.1477643511982782,0.2006196007640382,0.022308951111158434,0.4954497805998453,5,0.12264838200409148,0.206892929654903,2.4244872385799176e-103,0.4855145675244614,5,0.10766975108821268,0.20373914158858533,2.2279825835978546e-155,0.4680370646624665,5,0.28585559361182566,0.2536633312549177,0.0856269113149847,0.7000000000000001,5,0.18928752612650218,0.28669926678238367,0.01846153846153846,0.6938775510204082,5,0.25658018815511385,0.2602074851964251,0.07339449541284404,0.7000000000000001,5,0.7964197874069214,0.07299638652437686,0.7175387144088745,0.9054893255233765,5,0.8646230340003968,0.07295384812099741,0.7971855401992798,0.9833579659461975,5,0.829011332988739,0.07247185730750781,0.7552680969238281,0.9428185224533081
1001586_chapter_061.txt,5,0.9111111111111111,0.14487116456005888,0.6666666666666666,1.0,5,0.9714285714285713,0.06388765649999402,0.8571428571428571,1.0,5,0.7,0.447213595499958,0.0,1.0,5,0.4,0.5477225575051661,0.0,1.0,5,0.8715006690170467,0.042973254534347825,0.8,0.9,5,0.18908375118400159,0.12651208559528254,0.06390977443609022,0.39436619718309857,5,0.11873284713402074,0.11737442974728199,0.021962192975028227,0.30947479362191027,5,0.08812686463332256,0.10633527824418997,2.795581729692603e-103,0.25889418587912666,5,0.06328132957189443,0.09601326709683623,2.4818160440139116e-155,0.2166851150767814,5,0.30732249763607733,0.155927118233298,0.1400560224089636,0.5486725663716814,5,0.12472687710356482,0.1363757051261054,0.009433962264150943,0.34234234234234234,5,0.22231877665061717,0.1507063921650997,0.10084033613445378,0.47787610619469023,5,0.8060614466667175,0.041680585076087275,0.7674547433853149,0.864506185054779,5,0.8621932387351989,0.04065994720005108,0.8234800100326538,0.9267793297767639,5,0.8331414222717285,0.040751181640402756,0.7944809198379517,0.8945603370666504
1001586_chapter_062.txt,5,1.0,0.0,1.0,1.0,5,0.9,0.22360679774997896,0.5,1.0,5,0.8699999999999999,0.18574175621006708,0.6,1.0,5,0.4,0.5477225575051661,0.0,1.0,5,0.8896312752422683,0.07376855488970582,0.8043740262999212,1.0,5,0.21658911893105087,0.108239279478845,0.1187132497963433,0.38333333333333336,5,0.11395462906506619,0.07570845594213392,0.03959037912324479,0.24181516964654318,5,0.06128760385270039,0.07568187578021307,3.5402410896081533e-103,0.1853351578600199,5,0.03541546101987192,0.0621629147505847,2.047244120710607e-155,0.14353865385321768,5,0.3780524867774733,0.15858193773214643,0.19178082191780824,0.6206896551724138,5,0.16560816634346046,0.16412568130500718,0.013888888888888892,0.44444444444444436,5,0.2219485392802117,0.07487244952426984,0.09589041095890412,0.2758620689655173,5,0.867167615890503,0.058361907883969145,0.8173351287841797,0.964237630367279,5,0.8635464191436768,0.006157704312118805,0.8555965423583984,0.8716759085655212,5,0.8645894885063171,0.028630208247674895,0.8432050347328186,0.913195013999939
