,count,mean,std,min,25%,50%,75%,max
answer_relevancy,1516.0,0.9560392132786594,0.13855361325571489,0.0,1.0,1.0,1.0,1.0
bert_f1,1516.0,0.8530368592619582,0.03112714260595121,0.5530223846435547,0.838129922747612,0.8552858829498291,0.8711058050394058,0.9864916205406189
bert_precision,1516.0,0.869152302674379,0.03098855239004028,0.6257254481315613,0.852783128619194,0.8715313076972961,0.8872470706701279,0.9863689541816711
bert_recall,1516.0,0.8380974174961251,0.037667479043367175,0.49545544385910034,0.820504292845726,0.8412494659423828,0.8607309609651566,0.9876436591148376
bleu1,1516.0,0.19775265008611428,0.11414258179563884,0.0,0.11593433820972172,0.19477400051463054,0.27002711425534887,0.9230769230769231
bleu2,1516.0,0.10167595367420211,0.09272203215656429,0.0,0.00996679477794478,0.08875124685345204,0.15774536220550966,0.8770580193070293
bleu3,1516.0,0.057686691572362295,0.07960275757478291,0.0,6.862938973443304e-104,8.433531118892851e-103,0.10205878415540905,0.8255793154384929
bleu4,1516.0,0.03185047799946002,0.06569070842564807,0.0,4.734684338507144e-156,5.506226730522541e-155,0.04877584105863605,0.7611606003349892
contextual_relevancy,1516.0,0.7453704478872358,0.2651296224665287,0.05,0.5714285714285714,0.8181818181818182,1.0,1.0
factual_correctness,1516.0,0.6205541040122641,0.2205792575674624,0.021671366681968705,0.4356138112339794,0.6857364269878765,0.801844256199001,1.0
faithfulness,1516.0,0.86637663860619,0.28522052050615565,0.0,1.0,1.0,1.0,1.0
hallucination,1516.0,0.46767810026385226,0.49911884529108436,0.0,0.0,0.0,1.0,1.0
rouge1,1516.0,0.2978237920264209,0.1137915301989802,0.0,0.22641509433962265,0.29999999999999993,0.36697247706422015,0.9032258064516129
rouge2,1516.0,0.10411970949134003,0.08946190449956261,0.0,0.038461538461538464,0.08888888888888888,0.1522256728778468,0.8275862068965518
rougeL,1516.0,0.229128856147933,0.09661603325539408,0.0,0.16666666666666666,0.2222222222222222,0.2808388157894736,0.9032258064516129
