,mean,std,variance,count,min,max
answer_relevancy,0.7543,0.2727,0.0744,255,0.0357,1.0
faithfulness,0.8766,0.2404,0.0578,255,0.0,1.0
contextual_relevancy,0.7997,0.1994,0.0398,255,0.1429,1.0
hallucination,0.8392,0.3673,0.1349,255,0.0,1.0
factual_correctness,0.6961,0.2321,0.0539,255,0.0953,0.9562
bleu1,0.0186,0.0141,0.0002,255,0.0028,0.1034
bleu2,0.0085,0.0071,0.0001,255,0.0,0.0599
bleu3,0.0042,0.0051,0.0,255,0.0,0.0441
bleu4,0.0022,0.0037,0.0,255,0.0,0.0342
rouge1,0.0403,0.0279,0.0008,255,0.0054,0.2152
rouge2,0.0114,0.0092,0.0001,255,0.0,0.0701
rougeL,0.0321,0.0194,0.0004,255,0.0054,0.1646
bert_precision,0.7464,0.0408,0.0017,255,0.5731,0.8334
bert_recall,0.8146,0.0268,0.0007,255,0.7003,0.871
bert_f1,0.7787,0.0325,0.0011,255,0.6303,0.8502
