,mean,std,variance,count,min,max
answer_relevancy,0.8857,0.2032,0.0413,255,0.0,1.0
faithfulness,0.9653,0.11,0.0121,255,0.0,1.0
contextual_relevancy,0.6697,0.3365,0.1132,255,0.0,1.0
hallucination,0.3137,0.464,0.2153,255,0.0,1.0
factual_correctness,0.8362,0.1565,0.0245,255,0.1971,1.0
bleu1,0.1928,0.1491,0.0222,255,0.0,0.8512
bleu2,0.124,0.1422,0.0202,255,0.0,0.8095
bleu3,0.0916,0.1332,0.0177,255,0.0,0.7662
bleu4,0.0684,0.1216,0.0148,255,0.0,0.7152
rouge1,0.3008,0.1787,0.0319,255,0.0,1.0
rouge2,0.1462,0.168,0.0282,255,0.0,1.0
rougeL,0.2383,0.1683,0.0283,255,0.0,1.0
bert_precision,0.818,0.059,0.0035,255,0.6508,0.9943
bert_recall,0.8582,0.0496,0.0025,255,0.5803,0.9894
bert_f1,0.837,0.0509,0.0026,255,0.6135,0.9918
