,mean,std,variance,count,min,max
answer_relevancy,0.9508,0.1256,0.0158,255,0.25,1.0
faithfulness,0.8829,0.2499,0.0625,255,0.0,1.0
contextual_relevancy,0.782,0.2033,0.0413,255,0.1538,1.0
hallucination,0.4353,0.4958,0.2458,255,0.0,1.0
factual_correctness,0.7211,0.2018,0.0407,255,0.1,1.0
bleu1,0.2118,0.1113,0.0124,255,0.0,0.7037
bleu2,0.1103,0.097,0.0094,255,0.0,0.6372
bleu3,0.0669,0.0874,0.0076,255,0.0,0.5985
bleu4,0.0422,0.0755,0.0057,255,0.0,0.5577
rouge1,0.3018,0.1094,0.012,255,0.0198,0.7857
rouge2,0.1075,0.0922,0.0085,255,0.0,0.6296
rougeL,0.2354,0.1003,0.0101,255,0.0141,0.7857
bert_precision,0.8658,0.0302,0.0009,255,0.6589,0.9375
bert_recall,0.8443,0.0321,0.001,255,0.6174,0.9522
bert_f1,0.8545,0.0269,0.0007,255,0.7198,0.9448
