,mean,std,variance,count,min,max
answer_relevancy,0.727,0.2973,0.0884,1516,0.0,1.0
faithfulness,0.8878,0.2248,0.0505,1516,0.0,1.0
contextual_relevancy,0.7437,0.2651,0.0703,1516,0.0526,1.0
hallucination,0.754,0.4307,0.1855,1516,0.0,1.0
factual_correctness,0.5664,0.236,0.0557,1516,0.0095,0.9148
bleu1,0.0192,0.0161,0.0003,1516,0.0008,0.1638
bleu2,0.009,0.0086,0.0001,1516,0.0,0.1012
bleu3,0.0047,0.006,0.0,1516,0.0,0.0762
bleu4,0.0023,0.0041,0.0,1516,0.0,0.0586
rouge1,0.0419,0.0308,0.0009,1516,0.0016,0.272
rouge2,0.0122,0.0109,0.0001,1516,0.0,0.121
rougeL,0.0338,0.0217,0.0005,1516,0.0016,0.176
bert_precision,0.7506,0.0429,0.0018,1516,0.596,0.8536
bert_recall,0.8138,0.0271,0.0007,1516,0.6778,0.8816
bert_f1,0.7806,0.0337,0.0011,1516,0.6514,0.8576
