,mean,std,variance,count,min,max
answer_relevancy,0.863,0.2146,0.0461,1516,0.0,1.0
faithfulness,0.9594,0.1133,0.0128,1516,0.0,1.0
contextual_relevancy,0.716,0.3329,0.1108,1516,0.0,1.0
hallucination,0.3707,0.483,0.2333,1516,0.0,1.0
factual_correctness,0.7847,0.1883,0.0355,1516,0.1,1.0
bleu1,0.1551,0.1324,0.0175,1516,0.0,0.9048
bleu2,0.1014,0.1196,0.0143,1516,0.0,0.877
bleu3,0.0744,0.1111,0.0123,1516,0.0,0.8482
bleu4,0.055,0.1013,0.0103,1516,0.0,0.829
rouge1,0.2562,0.1654,0.0274,1516,0.0,0.9677
rouge2,0.1278,0.145,0.021,1516,0.0,0.9091
rougeL,0.2013,0.1526,0.0233,1516,0.0,0.9565
bert_precision,0.7927,0.0629,0.004,1516,0.5211,0.9935
bert_recall,0.8539,0.0508,0.0026,1516,0.5272,0.9936
bert_f1,0.8215,0.0534,0.0029,1516,0.5734,0.9808
