,mean,std,variance,count,min,max
answer_relevancy,0.9603,0.1289,0.0166,1516,0.0,1.0
faithfulness,0.8537,0.3025,0.0915,1516,0.0,1.0
contextual_relevancy,0.7586,0.2616,0.0684,1516,0.05,1.0
hallucination,0.4617,0.4985,0.2485,1516,0.0,1.0
factual_correctness,0.6044,0.2058,0.0424,1516,0.0928,1.0
bleu1,0.1934,0.1177,0.0139,1516,0.0,0.913
bleu2,0.1017,0.096,0.0092,1516,0.0,0.8643
bleu3,0.0594,0.0834,0.007,1516,0.0,0.8128
bleu4,0.0344,0.0695,0.0048,1516,0.0,0.7522
rouge1,0.2993,0.1168,0.0136,1516,0.0,0.9388
rouge2,0.1074,0.0935,0.0087,1516,0.0,0.8511
rougeL,0.2313,0.1032,0.0106,1516,0.0,0.9388
bert_precision,0.871,0.0325,0.0011,1516,0.5914,0.993
bert_recall,0.8383,0.0387,0.0015,1516,0.5049,0.993
bert_f1,0.854,0.0322,0.001,1516,0.5801,0.993
